IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-091;null;null;null;null;V 971;656358;Schreckenberg III (1994) 592-595;Eyn schoin vnd suberlich tractat von der edele reyne vnd vnbefleckte junckfrouschaff Marie, etc.;null;ff. [26];4°;Deutsch;2. Auflage? Auch 1550 (= VD16 V 974 und U 186) . British Library: General Reference Collection DRT Digital Store 4808.c.13. UIN: BLL01018204058. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01018204058&vid=BLVU1&lang=en_US&institution=BL;Religious;Victor von Carben;119858703;Eyn schoin vnd suberlich tractat von der edele reyne vnd vnbefleckte junckfrouschaff Marie, etc.;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-092;null;null;null;null;W 4594;656812;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. [4];4°;Deutsch;betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg.;Religious;null;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);null;null;null;null;null;null;null;Mainz;4037124-4;Deutschland, Rheinland-Pfalz;XA-DE-RP;null;null;null;null;null
IDD-093;null;null;null;null;W 4593;656813;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. [5];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 ZV 26067. Erkennungslesart: ""Marckischen""."". USTC 656813 = USTC 2213248 = USTC 656814 ?. Titelholzschnitte";Religious;null;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-094;null;null;null;null;ZV 26067;656814;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. [5];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 ZV 26067. Erkennungslesart: ""Marckischen""."". USTC 656813 = USTC 2213248 = USTC 656814 ?";Religious;null;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-095;null;null;null;null;F 2815;659621;VL-Hum I (2008) 375-427. Schreckenberg III (1994) 579-580;De origine, situ, moribus et institutis Norinbergae Germaniae exegeseos volumina duodecim a Francisco irenico ettelingiacensi exarata eiusdem oratio protreptica, in amorem Germaniae, cum praesentis operis excusatione, urbis Norinbergae descripto. Conrado celte enarratore. Oratio protreptica in amorem Germaniae urbis Norinbergae descriptio;null;ff. (6) CCXXI(=231) (29);2°;Latein;"Sammelwerk; Imprent: typis ac formulis Thomas Anshelm, Nürnberg, sumptibus Johann Koberger";Travel;Konrad Celtis;118519891;De origine, situ, moribus et institutis Norinbergae;null;null;null;null;null;null;null;Hagenau;4094465-7;Frankreich, Unterelsass;XA-FR;null;null;null;null;null
IDD-096;null;null;null;null;B 5604;661171;null;Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.;Birchat ha-Mason. Benedicite iudeoru(m) vti soliti su(n)t a(n)te (et) post cibi su(m)ptione(m) benedicere (et) gratias agere deo / Egregio doctore Thoma murner Argentinensi ordinis mino(rum) interprete;ff. [4];4°;Latein;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift;Religious;Thomas Murner;118585886;Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.;null;null;null;null;null;null;null;Frankfurt (Main);4018118-2;Deutschland, Hessen;XA-DE-HE;null;null;null;null;null
IDD-097;null;null;null;null;H 188;661374;null;(1) Ritus et celebratio phase iudeorum. (2) Huqah ha-pesah. Ritus et celebratio Phase Tudeorum cum orationibus eorum et benedictionibus mense ad litteram interpretatis (etc.) Per Thomam Munner ex Hebreo in Lateinum traducta.;?uqat hap-pesa?. Ritus et celebratio phase iudeo(rum), cum orationibus eor(um), (et) benedictionibus mense ad littera(m) interp(re)tatis, cum omni obseruatione vti soliti su(n)t suu(m) pasca extra terra(m) p(ro)missionis sine esu agni pascalis celebrare / Per egrediu(m) doctorem. Thoma(m) murner ex hebreo in Lateinu(m) traducta eloquium;ff. [16];4°;(1) Latein (2) Hebräisch;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift. Bedeutender Kontroverstheologe der frühen Reformationszeit. 1505 Poeta laureatus;Religious;Thomas Murner;118585886;Huqah ha-pesah. Ritus et celebratio Phase Tudeorum cum orationibus eorum et benedictionibus mense ad litteram interpretatis (etc.) Per Thomam Munner ex Hebreo in Lateinum traducta.;null;null;null;null;null;null;null;Frankfurt (Main);4018118-2;Deutschland, Hessen;XA-DE-HE;null;null;null;null;null
IDD-098;null;null;null;null;P 2294;661559;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Handspiegel;Handt spiegel. Wider und gegen die Jüden und Judischen Thalmudischen schrifftenn so sie uber das Cristenlich regiment singen und lesen welche pillich gotslesterer, ketzer und aberglauber des alten newen und des naturlichen gesetzen gezelt geheissen verthümbt und abgethan werden moegen;ff. [24];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Handspiegel;null;null;null;null;null;null;null;Mainz;4037124-4;Deutschland, Rheinland-Pfalz;XA-DE-RP;null;null;null;null;null
IDD-099;null;null;null;null;S 8;662552;null;Historia hebreorum ex ... Enneadibus excerpta, eius gentis ritus, leges & gesta, ab orbe co(n)dito ad Iesu Christi te(m)pora ... co(m)plectens (etc.);Historia hebreo rum ex elegantissimis marci Antonii coccii sabellici enneadibus excerpta, eius gentis ritus leges et gesta, ab orbe condito, ad Jesu Christi tempora succincte complectens, in septem est partita libros (USTC);ff. 109;2°;Latein;Illustration;Religious;Marcus Antonius Sabellicus;100960170;Historia hebreorum ex ... Enneadibus excerpta, eius gentis ritus, leges & gesta, ab orbe co(n)dito ad Iesu Christi te(m)pora ... co(m)plectens (etc.);null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-100;null;null;null;null;D 2677;662696;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;Hierin(n) auff das kürtzest ist angezaigt der dreien glauben. d(a)z ist der Haid(e)n Jud(e)n vn(d) Cristen die frümbste(n) vn(d) pösten der höchsten geschlächt;ff. [20];4°;Deutsch;"BSB-Anmerkung: ""Bibliographischer Nachweis: Schott.Werl.1. Letztes Blatt der Lage E unbedruckt. Die Illustrationen sind Holzschnitte""";Religious;null;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-101;null;null;null;null;D 2678;662720;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;Hierinn: auf das kürtzest: ist angezaigt: der dreien glauben: das ist der hayden: Juden: und Cristen: die frümsten und pössisten: mannen und frauwen: der höchstenn geschlächt.;ff. [19];4°;Deutsch;null;Religious;null;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;null;null;null;null;null;null;null;München;4127793-4;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-102;null;null;null;null;P 2316;664310;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenfeind;Hostis judeorum hic liber Inscribitur qui declarat nequicias eorum circa usuras et dolos etiam varios qui in huc usque di noti Christianis non fuerut habet etiam in se Hebraicas senttias ut ceci et maledicti judei tanto apertius vel ex suis scripturis confundantur;ff. [12];4°;Latein;Lagenform: A-C4;Religious;Johannes Pfefferkorn;118848801;Judenfeind;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-103;null;null;null;null;P 2315;664915;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenfeind;Ich bin ein buchlin.der Juden veindt ist mein namen. Yr schalckheit sag ich und wil mich des nit schamen. Die lang zeit verborgen gewest als ich thu betewten das wil ich ytz offenbarn allen Cristen lewten;ff. [12];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenfeind;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-104;null;null;null;null;P 2290;665464;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Osterbüchlein;In disem buchlein vindet jer ain entlichenn fuertrag wie die blinden Juden yr Ostern halten unnd besuenderlich wie das Abentmal gessen wirt. Weiter würdt außgetruckt das die Juden ketzer seyn des alten und newenn Testaments deßhalb sye schuldig seyn des gerichts nach dem gesatz Moysi;ff. [14];4°;Deutsch;Lagenform: A - B4 C6;Religious;Johannes Pfefferkorn;118848801;Osterbüchlein;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-105;null;null;null;null;P 2293;665820;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Osterbüchlein;In hoc libello comparatur absoluta explicatio quomodo ceci illi judei suu pascha serut: et maxie quo ritu paschalem eam cenam manducent. Exprimitur praeterea judeos esse hereticos et desertores veteris. et oppugnatores Novi Testamti. qua obrem judicii rei sunt secundum leg moysi;ff. [16];4°;Latein;null;Religious;Johannes Pfefferkorn;118848801;Osterbüchlein;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-106;null;null;null;null;P 2305;668756;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heiß ein buchlin der Juden peicht in allen orten vindt man mich leicht vil neüer meren sind mir wol bekandt. Ich wil mich preyten in alle landt. Wer mich list dem wünsch ih hayl. Doch das ich den Juden nit werde zu tayl;ff. [12];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-107;null;null;null;null;P 2309;668757;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heysch eyn boichelgyn der ioeden bicht. In allen orten vint men mich licht. Vil neuwer meren synt myr wail becant. Ich wil mich spreyden in alle landt. Wer mych lest. Den wuschen ich heyl. Doch dat ich den ioeden niet werde tzo deyl;ff. [12];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-108;null;null;null;null;P 2306;668758;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heyss ain buechlein der Juden peicht. In allen orten vindt man mich leicht vil newer meren seind mir wol bekant. Ich will mich prayten in alle landt. Wer mich lyst dem wünsch ich hayl. Doch das ich den Juden nit werde zu tayl;ff. [10];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-109;null;null;null;null;P 2307;668759;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heyß eyn buchliin der Juden beicht. In allen orten vint man mich leicht vill neuwe meren synt myr wall bekant. Ich will mich spreyden in alle landt. Wer mich lyst den wuschen ich heyl. Doch das ich den Juden nit werde tzu deyl;ff. [16];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-110;null;null;null;null;P 2308;668760;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heysz ein buchlein der Juden peicht. In allen orten vindt man mich leicht. Vill newen meren synt mir woll bekant. Ich will mich preyten in allen landt. Wer mich lyst dem wunsch ich heyl. Doch das ich den Juden nit werde zu teyl;ff. [10];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-111;null;null;null;null;P 2296;669021;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Zu Lob und Ehre;In lob und eer dem allerdurchleuchtigsten großmechtigsten Fursten und Heren Hern Maximilian von Gots genaden romschen Kaysers hat Johannes Pfefferkorn dyß buchlyn auffgericht und in.XVI.capitel getaylt;ff. [24];4°;Deutsch;Das in Padua am 19. August 1509 ausgestellte Mandat Kaiser Maximilians I. wird im dritten Abschnitt der Schrift wiedergegeben. dig. Faks. (BSB Res/4 P.lat. 1101 a Beibd.3), Bildnr. 10-12. Textwiedergabe des entsprechenden Teils in FLÖRKEN, S. 152-153 [1509 Aug 19 Kaiser Maximilian: Mandat].;Political Tracts;Johannes Pfefferkorn;118848801;Zu Lob und Ehre;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-112;null;null;null;null;P 2310;672545;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Libellus de judaica confessione sive sabbato afflictionis. Per johannem pefferkorn factum ex judeo Christianum nuper editus;ff. [14];4°;Latein;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-113;null;null;null;null;P 2311;672546;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Libellus de Iudaica confessione;ff. [10];4°;Latein;null;Religious;Johannes Pfefferkorn;118848801;Judenbeichte;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-114;null;null;null;null;B 5835;676616;Schreckenberg III (1994) 399-400;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;Mythica historia Joannis boccacii: pro Philippum beraaldum de italico in Lateinum translata. In qua ostendit exemplo cuiusdam adolescentis: ob mores beluinos cymonis dicti: amorem cultorum morum esse parentem.;ff. 1 pp. [17];4°;Latein;Übersetzung aus dem Italinischen. Heide, Sebastian ¬von der¬ ¬[Beitr.]¬ - PND 115352503;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-115;null;null;null;null;ZV 2110;676617;Schreckenberg III (1994) 399-400;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;Mythica historia Joannis boccacii: pro Philippum beraaldum de italico in Lateinum translata. In qua ostendit exemplo cuiusdam adolescentis: ob mores beluinos cymonis dicti: amorem cultorum morum esse parentem.;ff. [12];4°;Latein;Übersetzung aus dem Italinischen. Heide, Sebastian ¬von der¬ ¬[Beitr.]¬ - PND 115352503 (Übersetzung aus dem Italinishcen);Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Frankfurt (Oder);4018122-4;Deutschland, Brandenburg;XA-DE-BB;null;null;null;null;null
IDD-116;null;null;null;null;V 969;679599;Schreckenberg III (1994) 592-595;De vita et moribus Judaeorum;Opus aureum ao novum et a doctis viris diu expectatum domini victoris de carben olim judei sm modo Christiani et sacerdois in quo os judeorum errores manifestantur qui hacteus nobis ignoti fuere;ff. [76];4°;Latein;Lagenformel: A - B6 C4 D6 E4 F6 G4 H6 I4 K6 L4 M6 N4 O6 P4. Bbirtish Library: General Reference Collection DRT Digital Store 4033.c.37.. UIN: BLL01017757713. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017757713&vid=BLVU1&lang=en_US&institution=BL;null;Victor von Carben;119858703;De vita et moribus Judaeorum;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-117;null;null;null;null;P 2436;683755;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;Pharetra catholice fidei sive ydonea disputatio inter Christianos et judeos in qua propulchra tanguntur media et rationes quibus quiuis Christifidelis tam ex prophetis suis pro riis qua ex nostris eorum erroribus faciliter poterit obuiare;ff. [10];4°;Latein;null;Religious;Theobaldus de Sexannia;100961932;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;null;null;null;null;null;null;Landshut;4034367-4;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
